Code,Temperature,Damage,Species,Genotype
21,-20,0,PSEP,19634 A
21,-20,0,PSEP,19634 A
21,-20,0.25,PSEP,19634 A
21,-10,0,PSEP,19634 A
21,-10,0,PSEP,19634 A
21,-10,0,PSEP,19634 A
21,4,0,PSEP,19634 A
21,4,0,PSEP,19634 A
21,4,0,PSEP,19634 A
22,-80,1,RUBR,524-2009 A
22,-80,1,RUBR,524-2009 A
22,-80,1,RUBR,524-2009 A
22,-40,1,RUBR,524-2009 A
22,-40,1,RUBR,524-2009 A
22,-40,1,RUBR,524-2009 A
22,-30,1,RUBR,524-2009 A
22,-30,1,RUBR,524-2009 A
22,-30,1,RUBR,524-2009 A
22,-20,0.25,RUBR,524-2009 A
22,-20,0.5,RUBR,524-2009 A
22,-20,0.75,RUBR,524-2009 A
22,-10,0,RUBR,524-2009 A
22,-10,0,RUBR,524-2009 A
22,-10,0,RUBR,524-2009 A
22,4,0,RUBR,524-2009 A
22,4,0,RUBR,524-2009 A
22,4,0,RUBR,524-2009 A
23,-80,1,RUBR,567-2008 B
23,-80,1,RUBR,567-2008 B
23,-80,1,RUBR,567-2008 B
23,-40,1,RUBR,567-2008 B
23,-40,1,RUBR,567-2008 B
23,-40,1,RUBR,567-2008 B
23,-30,1,RUBR,567-2008 B
23,-30,1,RUBR,567-2008 B
23,-30,1,RUBR,567-2008 B
23,-20,0.25,RUBR,567-2008 B
23,-20,0.25,RUBR,567-2008 B
23,-20,0.5,RUBR,567-2008 B
23,-10,0,RUBR,567-2008 B
23,-10,0,RUBR,567-2008 B
23,-10,0.25,RUBR,567-2008 B
23,4,0,RUBR,567-2008 B
23,4,0,RUBR,567-2008 B
23,4,0,RUBR,567-2008 B
24,-80,1,RUBR,207-2005 A
24,-80,1,RUBR,207-2005 A
24,-80,1,RUBR,207-2005 A
24,-40,1,RUBR,207-2005 A
24,-40,1,RUBR,207-2005 A
24,-40,1,RUBR,207-2005 A
24,-30,1,RUBR,207-2005 A
24,-30,1,RUBR,207-2005 A
24,-30,1,RUBR,207-2005 A
24,-20,0.75,RUBR,207-2005 A
24,-20,1,RUBR,207-2005 A
24,-20,1,RUBR,207-2005 A
24,-10,0,RUBR,207-2005 A
24,-10,0.25,RUBR,207-2005 A
24,-10,0.25,RUBR,207-2005 A
24,4,0,RUBR,207-2005 A
24,4,0,RUBR,207-2005 A
24,4,0,RUBR,207-2005 A
25,-80,1,SACC,530-2008 A
25,-80,1,SACC,530-2008 A
25,-80,1,SACC,530-2008 A
25,-40,1,SACC,530-2008 A
25,-40,0.75,SACC,530-2008 A
25,-40,0.75,SACC,530-2008 A
25,-30,0.5,SACC,530-2008 A
25,-30,0.5,SACC,530-2008 A
25,-30,0.25,SACC,530-2008 A
25,-20,0.25,SACC,530-2008 A
25,-20,0,SACC,530-2008 A
25,-20,0,SACC,530-2008 A
25,-10,0,SACC,530-2008 A
25,-10,0,SACC,530-2008 A
25,-10,0,SACC,530-2008 A
25,4,0,SACC,530-2008 A
25,4,0,SACC,530-2008 A
25,4,0,SACC,530-2008 A
26,-80,1,SACC,187-2006 B
26,-80,1,SACC,187-2006 B
26,-80,1,SACC,187-2006 B
26,-40,1,SACC,187-2006 B
26,-40,1,SACC,187-2006 B
26,-40,0.75,SACC,187-2006 B
26,-30,0.5,SACC,187-2006 B
26,-30,0,SACC,187-2006 B
26,-30,0.25,SACC,187-2006 B
26,-20,0.5,SACC,187-2006 B
26,-20,0.25,SACC,187-2006 B
26,-20,0.25,SACC,187-2006 B
26,-10,0,SACC,187-2006 B
26,-10,0,SACC,187-2006 B
26,-10,0.25,SACC,187-2006 B
26,4,0,SACC,187-2006 B
26,4,0,SACC,187-2006 B
26,4,0,SACC,187-2006 B
27,-80,1,SACC,246-2010 A
27,-80,1,SACC,246-2010 A
27,-80,1,SACC,246-2010 A
27,-40,0.75,SACC,246-2010 A
27,-40,0.75,SACC,246-2010 A
27,-40,0.5,SACC,246-2010 A
27,-30,1,SACC,246-2010 A
27,-30,0.75,SACC,246-2010 A
27,-30,0.75,SACC,246-2010 A
27,-20,0.5,SACC,246-2010 A
27,-20,0.25,SACC,246-2010 A
27,-20,0.25,SACC,246-2010 A
27,-10,0,SACC,246-2010 A
27,-10,0,SACC,246-2010 A
27,-10,0,SACC,246-2010 A
27,4,0,SACC,246-2010 A
27,4,0,SACC,246-2010 A
27,4,0,SACC,246-2010 A
28,-80,1,SPIC,124-2005 C
28,-80,1,SPIC,124-2005 C
28,-80,1,SPIC,124-2005 C
28,-40,1,SPIC,124-2005 C
28,-40,1,SPIC,124-2005 C
28,-40,0.75,SPIC,124-2005 C
28,-30,0.75,SPIC,124-2005 C
28,-30,1,SPIC,124-2005 C
28,-30,0.75,SPIC,124-2005 C
28,-20,0,SPIC,124-2005 C
28,-20,0,SPIC,124-2005 C
28,-20,0,SPIC,124-2005 C
28,-10,0,SPIC,124-2005 C
28,-10,0,SPIC,124-2005 C
28,-10,0,SPIC,124-2005 C
28,4,0,SPIC,124-2005 C
